season,matchday,indicator,name,league_code
20-21,1,home,hans-dieter-flick/trainer,GER1
20-21,1,away,david-wagner/trainer,GER1
20-21,1,home,adolf-huetter/trainer,GER1
20-21,1,away,uwe-neuhaus/trainer,GER1
20-21,1,home,urs-fischer/trainer,GER1
20-21,1,away,heiko-herrlich/trainer,GER1
20-21,1,home,markus-gisdol/trainer,GER1
20-21,1,away,sebastian-hoeness/trainer,GER1
20-21,1,home,florian-kohfeldt/trainer,GER1
20-21,1,away,bruno-labbadia/trainer,GER1
20-21,1,home,pellegrino-matarazzo/trainer,GER1
20-21,1,away,christian-streich/trainer,GER1
20-21,1,home,lucien-favre/trainer,GER1
20-21,1,away,marco-rose/trainer,GER1
20-21,1,home,julian-nagelsmann/trainer,GER1
20-21,1,away,achim-beierlorzer/trainer,GER1
20-21,1,home,oliver-glasner/trainer,GER1
20-21,1,away,peter-bosz/trainer,GER1
